Nombre,Direccion,Contacto,Horario,Google maps Ubicación (),Estado
"Centro de Acopio de Residuos ""Las Fuentes""","C. San Antonio 112, Las Fuentes, 45070 Zapopan, Jal., México.",no disponible,"Abierto las 24 horas, todos los días.",https://maps.app.goo.gl/x4LvZsWpSsTdseE16,Jalisco
Recimex S.A. de C.V.,"Teniente Coronel Felipe Páramo 527, Elías Pérez Ávalos, 58210 Morelia, Mich., México.",Teléfono: +524434719293,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/U27KzyiDcWfcBqTy6,Michoacán de Ocampo
RECICLADORA MONARCA,"Lago 1, 58148 Morelia, Mich., México.",Teléfono: +524438433409,"lunes a viernes de 8:00 a 16:30, sábado de 8:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/Qm2gSkxgaSGMw1Hf6,Michoacán de Ocampo
Recicladora,"Ignacio Fernández de Córdova 191, Agustín Arriaga Rivera, 58190 Morelia, Mich., México",Teléfono: +524433274927,"lunes a viernes de 8:00 a 14:00 y de 15:30 a 17:30, sábado de 8:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/qteau5hvDjuSRsJS7,Michoacán de Ocampo
"Recicladora, El TORITO","Degollado - La Piedad de Cavadas 3857, Campestre, 59400 La Piedad de Cabadas, Mich., México.",Teléfono: +523525255839,"lunes a viernes de 8:30 a 15:00 y de 16:00 a 18:00, sábado de 8:30 a 14:00, domingo cerrado.",https://maps.app.goo.gl/qHQoe1Eziec1zMnK7,Michoacán de Ocampo
Recicladora Valladolid,"Icuacato 230, Lago II, 58115 Morelia, Mich., México.",Teléfono: +524432400356,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 13:00, domingo cerrado",https://maps.app.goo.gl/NLmdJCrjNPTq3VPD7,Michoacán de Ocampo
Centro De Reciclaje,"Insurgentes 35, Centro, 62550 Morelos, Mor., México.",no disponible,lunes a viernes de 8:00 a 18:00 y los sábados de 8:00 a 14:00. Cerrado los domingos.,https://maps.app.goo.gl/H3pYCtuhPBbYEV5K7,Morelos
reciclamos electronicos,"Lomas de Cortes 90, Bosques de Cuernavaca, 62340 Cuernavaca, Mor., México.",Teléfono: +52 777 268 2315.,lunes a viernes de 9:00 a 18:00 y los sábados de 9:00 a 18:00. Cerrado los domingos.,https://maps.app.goo.gl/Ggzd2tsBpKgSo5XW6,Morelos
Nosotros Reciclamos A.C.,"Calle Primavera, esq. Zenzotle, Col. Loma Verde, Primavera, Loma Bonita, 62340 Cuernavaca, Mor., México.",Teléfono: +52 777 151 9948.,lunes a viernes de 9:00 a 17:00 y los sábados de 9:00 a 15:00.,https://maps.app.goo.gl/8Yzzd8nWninJJE8P7,Morelos
Desperdicios Industriales Román,"P.º de Los Tulipanes 2, Bugambilias, 62550 Jiutepec, Mor., México.",Teléfono: +52 777 320 4550,lunes a viernes de 8:00 a 19:00 y los sábados de 8:00 a 15:00. Cerrado los domingos.,https://maps.app.goo.gl/1tW6arzssXrW6Pme9,Morelos
,,,,,
Recicladora de vidrio Recyglass-Tepic,"63088, Santa Fe, 63088 Tepic, Nay., México.",Teléfono: +52 311 150 2640.,"lunes a viernes de 9:00 a 19:00, sábado de 9:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/BC53mh5SsXfEJXtJA,Nayarit
Vannova Reciclaje,"Niño Obrero, Sin Referencia, 63173 Tepic, Nay., México",Teléfono: +52 311 219 4431.,"lunes a viernes de 8:00 a 14:00 y de 15:00 a 17:00, sábado de 8:00 a 13:00, domingo cerrado.",https://maps.app.goo.gl/3wfH3Rb1LvH6hzTXA,Nayarit
Recicladora el Manguito S.A de C.V,"Carr. A San Clemente de Lima Manzana av Lote 8, 63735 Mezcales, Nay., México",Teléfono: +52 329 296 5706.,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/VqTb9gtzEor2hP7h6,Nayarit
Reciclaje de vidrio Recyglass-Vallarta,"63730, Nay., México.",Teléfono: +52 33 1141 8942,"lunes a viernes de 9:00 a 19:00, sábado de 9:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/t23hm9WAAUEZgYLj6,Nayarit
Reciclados Ganda,"Luis Echeverría 10, Puente de San Cayetano, 63194 Tepic, Nay., México.",Teléfono: +52 311 211 7255,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/VnQM4bvdfjktHM4u9,Nayarit
,,,,,
"Reciclaje de Cable, Electronica y Metales S.A. de C.V.","Ave. Cristóbal Colón 2059 Esq, 20 de Noviembre, Industrial, 64480 Monterrey, N.L., México.",Teléfono: +52 81 3402 2994,lunes a viernes de 8:00 a 18:00.,https://maps.app.goo.gl/w2AM22ycAAPvDTH59,Nuevo León
E.W. basura electrónica,"2a. Zona 239, Caracol, 64810 Monterrey, N.L., México.",Teléfono: +52 81 1916 9880.,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 13:00.",https://maps.app.goo.gl/haq3Ueoycqs4aPP16,Nuevo León
,,,,,
,,,,,
